"center_id"	"patient_id"	"sex"	"weight"	"height"	"resting.bp.s"	"cholesterol"	"fasting.blood.sugar"	"physical_activity"	"dob"	"social_security_number"
"HOSPIT4224"	"PAT00022"	"M"	80.2	181	120	184	0	"Low"	"1980-03-12"	155063293861
"HOSPIT4224"	"PAT00023"	"F"	93.4	165	124	201	0	"Low"	"1975-03-12"	159839263444
"HOSPIT4224"	"PAT00024"	"M"	97.7	173	150	288	0	"Low"	"1980-03-12"	270307626988
"HOSPIT4224"	"PAT00025"	"M"	77.6	160	130	215	0	"Low"	"1984-03-12"	269475610129
"HOSPIT4224"	"PAT00026"	"M"	84.5	160	130	209	0	"Low"	"1988-03-12"	165406693193
"HOSPIT4224"	"PAT00027"	"M"	75.4	164	124	260	0	"Low"	"1971-03-12"	150585063279
"HOSPIT4224"	"PAT00028"	"M"	81.1	183	120	284	0	"Low"	"1972-03-12"	178439392382
"HOSPIT4224"	"PAT00029"	"F"	79.9	152	113	468	0	"Intermediate"	"1971-03-12"	174573756216
"HOSPIT4224"	"PAT00030"	"M"	71.8	151	125	188	0	"Low"	"1973-03-12"	197543765271
"HOSPIT4224"	"PAT00031"	"M"	95.6	183	145	518	0	"Intermediate"	"1971-03-12"	169787388567
"HOSPIT4224"	"PAT00032"	"M"	81.9	201	130	167	0	"Low"	"1968-03-12"	249534921012
"HOSPIT4224"	"PAT00033"	"M"	71.8	180	125	224	0	"Low"	"1970-03-12"	237954713958
"HOSPIT4224"	"PAT00034"	"M"	99.9	174	130	172	0	"Low"	"1983-03-12"	238634198990
"HOSPIT4224"	"PAT00035"	"F"	89.5	168	150	186	0	"Low"	"1981-03-12"	234346153739
"HOSPIT4224"	"PAT00036"	"M"	59.5	164	125	254	0	"Intermediate"	"1992-03-12"	199824648071
"HOSPIT4224"	"PAT00037"	"M"	62.9	202	140	306	1	"Intermediate"	"1959-03-12"	174628761219
"HOSPIT4224"	"PAT00038"	"F"	57.3	NA	110	250	0	"Low"	"1983-03-12"	192240452182
"HOSPIT4224"	"PAT00039"	"F"	56.3	177	120	177	1	"Intermediate"	"1976-03-12"	153673054044
"HOSPIT4224"	"PAT00040"	"F"	75.5	191	150	227	0	"Low"	"1976-03-12"	260515205726
"HOSPIT4224"	"PAT00041"	"F"	86.2	180	150	230	0	"Low"	"1970-03-12"	268112481972
"HOSPIT4224"	"PAT00042"	"F"	50.9	1.84	130	294	0	"Low"	"1970-03-12"	174919129234
"HOSPIT4224"	"PAT00043"	"M"	98.7	203	150	264	0	"Intermediate"	"1989-03-12"	247622270753
"HOSPIT4224"	"PAT00044"	"M"	83.3	178	140	259	0	"High"	"1972-03-12"	198678049410
"HOSPIT4224"	"PAT00045"	"M"	71.1	168	120	175	0	"Low"	"1981-03-12"	174326458213
"HOSPIT4224"	"PAT00046"	"M"	75.7	196	130	318	0	"Intermediate"	"1965-03-12"	183163840875
"HOSPIT4224"	"PAT00047"	"M"	87.6	165	120	223	0	"Low"	"1987-03-12"	270324060386
"HOSPIT4224"	"PAT00048"	"M"	84.9	184	140	216	0	"Low"	"1974-03-12"	200360816139
"HOSPIT4224"	"PAT00049"	"M"	78.4	153	112	340	0	"Low"	"1988-03-12"	271566190338
"HOSPIT4224"	"PAT00050"	"M"	69.6	199	110	289	0	"Low"	"1983-03-12"	193598333516
"HOSPIT4224"	"PAT00051"	"M"	57.5	180	130	233	0	"Low"	"1974-03-12"	169590127838
"HOSPIT4224"	"PAT00052"	"F"	NA	193	120	205	0	"Low"	"1977-03-12"	247977489591
"HOSPIT4224"	"PAT00053"	"M"	75.2	165	140	224	1	"Low"	"1979-03-12"	234990596599
"HOSPIT4224"	"PAT00054"	"F"	63.8	173	130	245	0	"Low"	"1983-03-12"	240805623899
"HOSPIT4224"	"PAT00055"	"F"	95.8	201	130	180	0	"High"	"1972-03-12"	203883633291
"HOSPIT4224"	"PAT00056"	"Female"	101.5	152	160	194	0	"Low"	"1973-03-12"	179061611626
"HOSPIT4224"	"PAT00057"	"M"	66.2	190	120	270	0	"Low"	"1993-03-12"	250933268893
"HOSPIT4224"	"PAT00058"	"M"	75.1	192	130	213	0	"Low"	"1966-03-12"	229816764139
"HOSPIT4224"	"PAT00059"	"M"	66.2	NA	150	365	0	"Low"	"1970-03-12"	213375368732
"HOSPIT4224"	"PAT00060"	"M"	78.6	195	112	342	0	"Low"	"1972-03-12"	240689882660
"HOSPIT4224"	"PAT00061"	"M"	93.8	147	100	253	0	"Intermediate"	"1975-03-12"	265492455547
"HOSPIT4224"	"PAT00062"	"F"	72.9	173	150	254	0	"Low"	"1981-03-12"	164414255562
"HOSPIT4224"	"PAT00063"	"M"	55.7	152	140	224	0	"Low"	"1979-03-12"	182784346777
"HOSPIT4224"	"PAT00064"	"M"	49.5	153	120	277	0	"Intermediate"	"1978-03-12"	266376115677
"HOSPIT4224"	"PAT00065"	"F"	71	213	110	202	0	"High"	"1974-03-12"	230090781586
"HOSPIT4224"	"PAT00066"	"F"	84	178	120	260	0	"Low"	"1987-03-12"	208501447301
"HOSPIT4224"	"PAT00067"	"F"	95	191	132	297	0	"Low"	"1979-03-12"	203247957730
"HOSPIT4224"	"PAT00068"	"M"	52.8	177	110	225	0	"Low"	"1992-03-12"	243302613016
"HOSPIT4224"	"PAT00069"	"M"	46.8	173	160	246	0	"Intermediate"	"1972-03-12"	200339838181
"HOSPIT4224"	"PAT00070"	"M"	NA	144	150	412	0	"Low"	"1980-03-12"	225701224713
"HOSPIT4224"	"PAT00071"	"M"	77.2	170	140	265	0	"Low"	"1967-03-12"	256662433160
"HOSPIT4224"	"PAT00072"	"M"	69.5	203	130	215	0	"Low"	"1980-03-12"	216956137122
"HOSPIT4224"	"PAT00073"	"M"	72.5	201	120	182	0	"Intermediate"	"1972-03-12"	236400780460
"HOSPIT4224"	"PAT00074"	"F"	NA	152	120	218	0	"Low"	"1980-03-12"	180286838923
"HOSPIT4224"	"PAT00075"	"M"	NA	180	140	268	0	"Low"	"1969-03-12"	179918027221
"HOSPIT4224"	"PAT00076"	"M"	47.1	169	150	163	0	"Low"	"1978-03-12"	185946996983
"HOSPIT4224"	"PAT00077"	"M"	NA	189	118	529	0	"Low"	"1992-03-12"	204743215947
"HOSPIT4224"	"PAT00078"	"F"	70.8	1.66	140	167	0	"High"	"1989-03-12"	257298963226
"HOSPIT4224"	"PAT00079"	"M"	75.8	162	140	100	0	"Intermediate"	"1972-03-12"	157955688822
"HOSPIT4224"	"PAT00080"	"M"	56.2	177	130	206	0	"Low"	"1975-03-12"	158153194513
"HOSPIT4224"	"PAT00081"	"M"	61.6	188	110	277	0	"High"	"1969-03-12"	230009652489
"HOSPIT4224"	"PAT00082"	"M"	67.4	174	120	238	0	"Low"	"1970-03-12"	270038999643
"HOSPIT4224"	"PAT00083"	"M"	59.7	195	150	223	0	"Intermediate"	"1961-03-12"	260894621200
"HOSPIT4224"	"PAT00084"	"M"	NA	176	160	196	0	"Low"	"1972-03-12"	240410850908
"HOSPIT4224"	"PAT00085"	"M"	96.5	175	150	213	1	"Low"	"1968-03-12"	273645289656
"HOSPIT4224"	"PAT00086"	"M"	95.7	208	140	139	0	"Low"	"1958-03-12"	157586470761
"HOSPIT4224"	"PAT00087"	"M"	78.7	186	170	263	1	"Low"	"1959-03-12"	266789924700
"HOSPIT4224"	"PAT00088"	"F"	NA	183	140	216	0	"Low"	"1971-03-12"	262906118979
"HOSPIT4224"	"PAT00089"	"M"	66.6	184	120	291	0	"Low"	"1981-03-12"	148488772118
"HOSPIT4224"	"PAT00090"	"M"	90.5	186	140	229	0	"Low"	"1969-03-12"	241346299007
"HOSPIT4224"	"PAT00091"	"F"	83.7	183	110	208	0	"Low"	"1975-03-12"	163376562582
"HOSPIT4224"	"PAT00092"	"M"	56.6	190	130	307	0	"Low"	"1985-03-12"	257689212731
"HOSPIT4224"	"PAT00093"	"F"	73.8	166	120	210	0	"Low"	"1972-03-12"	236770903481
"HOSPIT4224"	"PAT00094"	"M"	101	183	160	329	0	"Intermediate"	"1976-03-12"	258655898730
"HOSPIT4224"	"PAT00095"	"F"	50	172	110	182	0	"Low"	"1985-03-12"	240062320074
"HOSPIT4224"	"PAT00096"	"M"	54.3	159	130	263	0	"Low"	"1966-03-12"	253881951084
"HOSPIT4224"	"PAT00097"	"M"	88.5	151	142	207	0	"Low"	"1981-03-12"	271760120204
"HOSPIT4224"	"PAT00098"	"M"	69.5	179	160	147	1	"Low"	"1985-03-12"	245411834494
"HOSPIT4224"	"PAT00099"	"M"	71	178	120	85	0	"Low"	"1968-03-12"	198215554261
"HOSPIT4224"	"PAT00100"	"M"	NA	193	125	269	0	"Intermediate"	"1983-03-12"	258720833279
"HOSPIT4224"	"PAT00101"	"M"	51.3	166	130	275	0	"Low"	"1959-03-12"	154342499416
"HOSPIT4224"	"PAT00102"	"M"	97.5	163	130	179	0	"Intermediate"	"1973-03-12"	155620319049
"HOSPIT4224"	"PAT00103"	"F"	76.1	195	150	392	0	"Intermediate"	"1984-03-12"	267065108955
"HOSPIT4224"	"PAT00104"	"M"	82.6	176	120	466	1	"Low"	"1984-03-12"	182748849225
"HOSPIT4224"	"PAT00105"	"M"	NA	161	118	186	0	"Low"	"1978-03-12"	228194187668
"HOSPIT4224"	"PAT00106"	"M"	92.8	192	140	260	1	"Low"	"1967-03-12"	232603571081
"HOSPIT4224"	"PAT00107"	"F"	64.9	156	120	254	0	"High"	"1976-03-12"	272484634756
"HOSPIT4224"	"PAT00108"	"M"	65	186	150	214	0	"Intermediate"	"1990-03-12"	249810986795
"HOSPIT4224"	"PAT00109"	"M"	57.7	161	140	129	0	"Intermediate"	"1974-03-12"	193755767105
"HOSPIT4224"	"PAT00110"	"M"	94.6	155	190	241	0	"Low"	"1985-03-12"	226979542646
"HOSPIT4224"	"PAT00111"	"F"	98	177	130	188	0	"Low"	"1965-03-12"	214903979193
"HOSPIT4224"	"PAT00112"	"M"	81.4	176	150	255	0	"Low"	"1967-03-12"	240581794498
"HOSPIT4224"	"PAT00113"	"M"	72	143	140	276	1	"Low"	"1977-03-12"	255440896928
"HOSPIT4224"	"PAT00114"	"M"	58.1	175	140	297	0	"Intermediate"	"1986-03-12"	219623877384
"HOSPIT4224"	"PAT00115"	"F"	47.1	168	130	207	0	"Intermediate"	"1975-03-12"	247452071784
"HOSPIT4224"	"PAT00116"	"F"	79.9	NA	100	246	0	"Low"	"1991-03-12"	173624573329
"HOSPIT4224"	"PAT00117"	"M"	84.3	173	120	282	0	"Intermediate"	"1986-03-12"	150977768686
"HOSPIT4224"	"PAT00118"	"F"	62	148	130	338	1	"Low"	"1965-03-12"	234019827226
"HOSPIT4224"	"PAT00119"	"F"	87.4	174	120	160	0	"Low"	"1989-03-12"	224741441752
"HOSPIT4224"	"PAT00120"	"M"	81.1	1.69	140	156	0	"Low"	"1990-03-12"	175036880796
"HOSPIT4224"	"PAT00121"	"F"	70.9	1.7	135	248	1	"High"	"1977-03-12"	221008166552
"HOSPIT4224"	"PAT00122"	"F"	75.7	185	125	272	0	"Low"	"1972-03-12"	197845822241
"HOSPIT4224"	"PAT00123"	"M"	88.1	176	110	240	0	"Low"	"1978-03-12"	212548019800
"HOSPIT4224"	"PAT00124"	"F"	81.2	152	180	393	0	"Intermediate"	"1966-03-12"	252678020958
"HOSPIT4224"	"PAT00125"	"M"	92.7	150	130	230	0	"Low"	"1966-03-12"	269580621730
"HOSPIT4224"	"PAT00126"	"M"	99.6	163	120	246	0	"Low"	"1970-03-12"	195211803870
"HOSPIT4224"	"PAT00127"	"F"	68.8	169	130	161	0	"Low"	"1990-03-12"	173133621014
"HOSPIT4224"	"PAT00128"	"F"	NA	166	108	163	0	"Low"	"1976-03-12"	171653210774
"HOSPIT4224"	"PAT00129"	"F"	59.8	164	120	230	1	"Low"	"1970-03-12"	263975860241
"HOSPIT4224"	"PAT00130"	"M"	NA	177	120	228	0	"Low"	"1982-03-12"	232876643955
"HOSPIT4224"	"PAT00131"	"M"	87.5	190	145	292	0	"Low"	"1986-03-12"	240013863746
"HOSPIT4224"	"PAT00132"	"M"	NA	157	110	202	0	"Low"	"1978-03-12"	226011046051
"HOSPIT4224"	"PAT00133"	"M"	81.8	165	170	388	0	"Low"	"1968-03-12"	242389939333
"HOSPIT4224"	"PAT00134"	"M"	57.3	185	150	230	0	"Low"	"1968-03-12"	211952728672
"HOSPIT4224"	"PAT00135"	"F"	74.9	156	130	294	0	"Intermediate"	"1963-03-12"	171001703196
"HOSPIT4224"	"PAT00136"	"M"	89.1	NA	115	265	0	"Low"	"1975-03-12"	165421776144
"HOSPIT4224"	"PAT00137"	"F"	100	171	120	215	0	"Intermediate"	"1981-03-12"	259128404085
"HOSPIT4224"	"PAT00138"	"M"	57.7	149	120	241	0	"Low"	"1985-03-12"	153880389144
"HOSPIT4224"	"PAT00139"	"M"	70.6	204	140	166	0	"Low"	"1970-03-12"	181356105753
"HOSPIT4224"	"PAT00140"	"M"	83.2	170	150	247	0	"Low"	"1981-03-12"	238617000016
"HOSPIT4224"	"PAT00141"	"M"	63.3	155	160	331	0	"Low"	"1972-03-12"	215862359181
"HOSPIT4224"	"PAT00142"	"M"	99.3	179	140	341	0	"Low"	"1974-03-12"	212351913554
"HOSPIT4224"	"PAT00143"	"M"	54.1	183	160	291	0	"Low"	"1977-03-12"	215723106415
"HOSPIT4224"	"PAT00144"	"M"	94	167	140	243	0	"High"	"1971-03-12"	208461149765
"HOSPIT4224"	"PAT00145"	"F"	51.6	198	120	279	0	"Intermediate"	"1968-03-12"	216629075559
"HOSPIT4224"	"PAT00146"	"M"	81.5	198	110	273	0	"Low"	"1985-03-12"	220286846521
"HOSPIT4224"	"PAT00147"	"M"	NA	179	120	198	0	"Low"	"1982-03-12"	190340466354
"HOSPIT4224"	"PAT00148"	"F"	57.9	173	120	249	0	"Intermediate"	"1981-03-12"	214584920749
"HOSPIT4224"	"PAT00149"	"M"	94.4	168	120	168	0	"Low"	"1974-03-12"	220974148514
"HOSPIT4224"	"PAT00150"	"M"	69.2	142	130	603	1	"Intermediate"	"1970-03-12"	201596780431
"HOSPIT4224"	"PAT00151"	"M"	56.5	157	130	215	0	"Intermediate"	"1985-03-12"	191419426940
"HOSPIT4224"	"PAT00152"	"M"	90.3	160	100	159	0	"Low"	"1976-03-12"	160701500769
"HOSPIT4224"	"PAT00153"	"Male"	89.9	NA	130	275	0	"High"	"1984-03-12"	244820403183
"HOSPIT4224"	"PAT00154"	"M"	52.1	198	120	270	0	"Intermediate"	"1969-03-12"	203186876682
"HOSPIT4224"	"PAT00155"	"M"	68.4	147	120	291	0	"Low"	"1983-03-12"	248585853413
"HOSPIT4224"	"PAT00156"	"M"	99.8	153	155	342	1	"Low"	"1968-03-12"	177011818827
"HOSPIT4224"	"PAT00157"	"M"	68.2	175	110	190	0	"Low"	"1986-03-12"	161527502694
"HOSPIT4224"	"PAT00158"	"M"	87.9	147	140	185	0	"High"	"1975-03-12"	182302513203
"HOSPIT4224"	"PAT00159"	"M"	81.1	164	130	290	0	"Low"	"1980-03-12"	179029735435
"HOSPIT4224"	"PAT00160"	"M"	99	142	160	195	0	"Low"	"1970-03-12"	249627894457
"HOSPIT4224"	"PAT00161"	"M"	54.4	218	140	264	1	"Low"	"1965-03-12"	198268425746
"HOSPIT4224"	"PAT00162"	"M"	78.5	174	128	212	0	"Low"	"1975-03-12"	233526280026
"HOSPIT4224"	"PAT00163"	"M"	66.8	189	160	263	0	"Low"	"1977-03-12"	247374816748
"HOSPIT4224"	"PAT00164"	"F"	79.5	157	110	208	0	"Low"	"1975-03-12"	162786978833
"HOSPIT4224"	"PAT00165"	"M"	59.1	176	120	196	0	"Intermediate"	"1982-03-12"	241035185376
"HOSPIT4224"	"PAT00166"	"F"	49.9	183	140	225	0	"Low"	"1972-03-12"	170331732242
"HOSPIT4224"	"PAT00167"	"M"	61.3	178	140	272	1	"High"	"1978-03-12"	149202028612
"HOSPIT4224"	"PAT00168"	"M"	80.4	175	140	231	0	"Low"	"1974-03-12"	229393449469
"HOSPIT4224"	"PAT00169"	"M"	81.4	174	140	238	0	"Low"	"1976-03-12"	213005787545
"HOSPIT4224"	"PAT00170"	"M"	61.3	166	135	222	0	"Low"	"1966-03-12"	215998159164
"HOSPIT4224"	"PAT00171"	"M"	77.3	185	140	179	0	"Intermediate"	"1966-03-12"	270168449309
"HOSPIT4224"	"PAT00172"	"M"	95.7	161	120	243	0	"Low"	"1995-03-12"	231744842745
"HOSPIT4224"	"PAT00173"	"M"	79	183	140	235	0	"Low"	"1984-03-12"	233089473600
"HOSPIT4224"	"PAT00174"	"M"	55	196	140	320	0	"Intermediate"	"1971-03-12"	230320645634
"HOSPIT4224"	"PAT00175"	"M"	58.7	195	140	187	0	"Low"	"1975-03-12"	261386241970
"HOSPIT4224"	"PAT00176"	"M"	71.6	184	140	266	0	"Low"	"1972-03-12"	225051003463
"HOSPIT4224"	"PAT00177"	"M"	55	NA	140	288	0	"Intermediate"	"1981-03-12"	209580140853
"HOSPIT4224"	"PAT00178"	"M"	65.6	182	140	216	0	"High"	"1970-03-12"	214275457335
"HOSPIT4224"	"PAT00179"	"M"	NA	NA	140	287	0	"Low"	"1965-03-12"	179574689038
"HOSPIT4224"	"PAT00180"	"M"	94.1	NA	130	194	0	"Intermediate"	"1987-03-12"	187148956122
"HOSPIT4224"	"PAT00181"	"F"	56	169	130	238	0	"Low"	"1978-03-12"	224527954363
"HOSPIT4224"	"PAT00182"	"M"	69.1	182	130	225	0	"Low"	"1972-03-12"	222855383550
"HOSPIT4224"	"PAT00183"	"M"	65.4	153	130	224	0	"Low"	"1973-03-12"	179280976181
"HOSPIT4224"	"PAT00184"	"M"	65.5	183	140	404	0	"Low"	"1972-03-12"	273639029497
"HOSPIT4224"	"PAT00185"	"M"	56.5	178	110	238	0	"Low"	"1978-03-12"	169376721550
"HOSPIT4224"	"PAT00186"	"F"	82.5	163	160	312	0	"Low"	"1970-03-12"	251615630966
"HOSPIT4224"	"PAT00187"	"M"	100.8	179	160	211	1	"Low"	"1966-03-12"	187090569272
"HOSPIT4224"	"PAT00188"	"M"	94.5	171	130	251	0	"Low"	"1966-03-12"	194135517896
"HOSPIT4224"	"PAT00189"	"M"	88.1	156	120	237	1	"Intermediate"	"1983-03-12"	223543626038
"HOSPIT4224"	"PAT00190"	"F"	69.8	194	120	328	0	"Low"	"1974-03-12"	226775951208
"HOSPIT4224"	"PAT00191"	"M"	46.8	NA	180	285	0	"Low"	"1971-03-12"	172387945283
"HOSPIT4224"	"PAT00192"	"M"	59.2	182	180	280	0	"Low"	"1978-03-12"	189645159932
"HOSPIT4224"	"PAT00193"	"M"	82.8	170	170	209	0	"Low"	"1974-03-12"	225055513567
"HOSPIT4224"	"PAT00194"	"M"	71.4	170	130	245	0	"Low"	"1976-03-12"	273680698905
"HOSPIT4224"	"PAT00195"	"M"	91.2	196	135	192	0	"Low"	"1979-03-12"	240805678309
"HOSPIT4224"	"PAT00196"	"F"	68.3	174	125	184	0	"High"	"1983-03-12"	158326859945
"HOSPIT4224"	"PAT00197"	"F"	53	156	160	193	0	"Low"	"1962-03-12"	221271564232
"HOSPIT4224"	"PAT00198"	"M"	81.8	184	120	297	0	"Low"	"1975-03-12"	243088688789
"HOSPIT4224"	"PAT00199"	"M"	78.2	185	150	268	0	"Intermediate"	"1982-03-12"	264700945322
"HOSPIT4224"	"PAT00200"	"M"	65.8	139	120	246	0	"High"	"1971-03-12"	221419012340
"HOSPIT4224"	"PAT00201"	"F"	51.1	184	130	308	0	"Low"	"1967-03-12"	207592392279
"HOSPIT4224"	"PAT00202"	"M"	54.3	177	110	249	0	"Low"	"1977-03-12"	265457086312
"HOSPIT4224"	"PAT00203"	"M"	96.4	192	120	230	0	"Low"	"1978-03-12"	194789011170
"HOSPIT4224"	"PAT00204"	"Male"	91.3	188	160	147	0	"Intermediate"	"1982-03-12"	233359046585
"HOSPIT4224"	"PAT00205"	"F"	NA	196	100	219	0	"Intermediate"	"1993-03-12"	224244629059
"HOSPIT4224"	"PAT00206"	"M"	NA	160	130	184	0	"Intermediate"	"1968-03-12"	160367116987
"HOSPIT4224"	"PAT00207"	"M"	76	NA	150	215	0	"Intermediate"	"1974-03-12"	149042466583
"HOSPIT4224"	"PAT00208"	"M"	84.2	176	120	308	0	"High"	"1989-03-12"	164452570175
"HOSPIT4224"	"PAT00209"	"M"	90.4	203	110	257	0	"Low"	"1989-03-12"	156430833008
"HOSPIT4224"	"PAT00210"	"M"	77.4	175	130	132	0	"Low"	"1996-03-12"	271405274566
"HOSPIT4224"	"PAT00211"	"M"	58.4	164	125	216	0	"Low"	"1970-03-12"	244004265713
"HOSPIT4224"	"PAT00212"	"M"	74.8	1.89	106	263	1	"Low"	"1976-03-12"	245119692453
"HOSPIT4224"	"PAT00213"	"F"	55	161	140	288	0	"Intermediate"	"1974-03-12"	156921879638
"HOSPIT4224"	"PAT00214"	"M"	67.7	153	130	276	0	"Low"	"1968-03-12"	169265721446
"HOSPIT4224"	"PAT00215"	"F"	61.7	190	130	219	0	"Low"	"1968-03-12"	203971655954
"HOSPIT4224"	"PAT00216"	"M"	87.2	166	150	226	0	"Low"	"1977-03-12"	256183669311
"HOSPIT4224"	"PAT00217"	"F"	73.5	157	170	237	0	"Intermediate"	"1994-03-12"	265527569984
"HOSPIT4224"	"PAT00218"	"M"	99.4	201	110	280	0	"Low"	"1985-03-12"	267508044315
"HOSPIT4224"	"PAT00219"	"M"	97.9	134	120	217	0	"Low"	"1970-03-12"	249399975723
"HOSPIT4224"	"PAT00220"	"M"	69.3	167	140	196	0	"Intermediate"	"1969-03-12"	177133935115
"HOSPIT4224"	"PAT00221"	"M"	NA	167	140	263	0	"Intermediate"	"1995-03-12"	203808758862
"HOSPIT4224"	"PAT00222"	"M"	74.8	163	130	222	0	"Low"	"1978-03-12"	261441751084
"HOSPIT4224"	"PAT00223"	"F"	80.6	143	160	303	0	"High"	"1973-03-12"	166370168872
"HOSPIT4224"	"PAT00224"	"F"	100.8	167	120	195	0	"Low"	"1976-03-12"	225819892901
"HOSPIT4224"	"PAT00225"	"M"	84.1	148	120	298	0	"Low"	"1991-03-12"	181756987677
"HOSPIT4224"	"PAT00226"	"M"	90.2	172	120	256	1	"Low"	"1969-03-12"	240825466612
"HOSPIT4224"	"PAT00227"	"M"	79.3	165	145	264	0	"Low"	"1974-03-12"	252477348349
"HOSPIT4224"	"PAT00228"	"M"	87.9	184	120	195	0	"Intermediate"	"1971-03-12"	272797664996
"HOSPIT4224"	"PAT00229"	"M"	57.4	179	92	117	0	"Intermediate"	"1986-03-12"	156818718352
"HOSPIT4224"	"PAT00230"	"M"	76.3	197	120	295	0	"Low"	"1983-03-12"	233119458616
"HOSPIT4224"	"PAT00231"	"F"	75	166	130	173	0	"Low"	"1987-03-12"	148068778539
"HOSPIT4224"	"PAT00232"	"M"	91.9	155	130	315	0	"Low"	"1987-03-12"	200043678676
"HOSPIT4224"	"PAT00233"	"M"	79.9	166	130	281	0	"Low"	"1984-03-12"	164205008505
"HOSPIT4224"	"PAT00234"	"F"	51	166	120	275	0	"Low"	"1986-03-12"	248208195812
"HOSPIT4224"	"PAT00235"	"M"	67.9	173	112	250	0	"Intermediate"	"1983-03-12"	196339374586
"HOSPIT4224"	"PAT00236"	"F"	51.4	NA	140	309	0	"Low"	"1970-03-12"	232738606180
"HOSPIT4224"	"PAT00237"	"M"	56	154	120	200	0	"Low"	"1985-03-12"	259939222264
"HOSPIT4224"	"PAT00238"	"M"	92.6	162	120	336	0	"Intermediate"	"1983-03-12"	223473187276
"HOSPIT4224"	"PAT00239"	"M"	57.1	194	140	295	0	"Low"	"1969-03-12"	274215336966
"HOSPIT4224"	"PAT00240"	"M"	61.9	160	160	355	0	"Low"	"1976-03-12"	273399738619
"HOSPIT4224"	"PAT00241"	"M"	60.1	NA	160	193	0	"Intermediate"	"1976-03-12"	259926389108
"HOSPIT4224"	"PAT00242"	"M"	88.1	170	145	326	0	"Low"	"1969-03-12"	255593798403
"HOSPIT4224"	"PAT00243"	"M"	95.8	171	200	198	0	"Intermediate"	"1970-03-12"	159930402687
"HOSPIT4224"	"PAT00244"	"M"	79.3	169	160	292	1	"Low"	"1969-03-12"	167924567204
"HOSPIT4224"	"PAT00245"	"F"	56.3	182	120	266	0	"Low"	"1981-03-12"	256960609136
"HOSPIT4224"	"PAT00246"	"M"	51.6	209	160	268	0	"Intermediate"	"1976-03-12"	150401466857
"HOSPIT4224"	"PAT00247"	"M"	49	175	120	171	0	"Low"	"1970-03-12"	153034426007
"HOSPIT4224"	"PAT00248"	"M"	64.3	154	120	237	0	"Intermediate"	"1970-03-12"	183447482492
"HOSPIT4224"	"PAT00249"	"M"	101.9	180	122	275	1	"Low"	"1976-03-12"	156028009544
"HOSPIT4224"	"PAT00250"	"M"	87	185	130	219	0	"Low"	"1979-03-12"	242524991140
"HOSPIT4224"	"PAT00251"	"M"	93.1	177	130	341	0	"Intermediate"	"1975-03-12"	212496390811
"HOSPIT4224"	"PAT00252"	"M"	49.9	163	135	491	0	"Low"	"1980-03-12"	237365337942
"HOSPIT4224"	"PAT00253"	"M"	98.9	170	120	260	0	"Intermediate"	"1976-03-12"	218503035115
